# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_1
UniClust90_6370-JLMABPAA_00133	356.3410755768
UniClust90_6370-JLMABPAA_00133|unclassified	356.3410755768
UniClust90_7041-IAMPEKML_00787	356.3410755768
UniClust90_7041-IAMPEKML_00787|unclassified	356.3410755768
UniClust90_7103-BPPBMJBL_00135	356.3410755768
UniClust90_7103-BPPBMJBL_00135|unclassified	356.3410755768
UniRef90_W6NZ25	356.3410755768
UniRef90_W6NZ25|unclassified	356.3410755768
UniRef90_A0A139KIP3	354.7081017026
UniRef90_A0A139KIP3|unclassified	354.7081017026
UniRef90_UNK25497-DFGHODMM_01233	354.3259781328
UniRef90_UNK25497-DFGHODMM_01233|unclassified	354.3259781328
UniRef90_A0A3D9ACV7	353.7859547922
UniRef90_A0A3D9ACV7|unclassified	353.7859547922
UniClust90_40800-MCEFJMEK_00764	353.5630799486
UniClust90_40800-MCEFJMEK_00764|unclassified	353.5630799486
UniClust90_1897-JBCMPKEG_02223	351.7832739272
UniClust90_1897-JBCMPKEG_02223|unclassified	351.7832739272
UniRef90_A0A174FKU1	351.4926772915
UniRef90_A0A174FKU1|unclassified	351.4926772915
UniRef90_A0A180FPJ6	351.4225462121
UniRef90_A0A180FPJ6|unclassified	351.4225462121
UniClust90_4550-IMBFHHNE_00008	349.7020856918
UniClust90_4550-IMBFHHNE_00008|unclassified	349.7020856918
UniClust90_30431-ENKDMLFH_01697	349.3638780233
UniClust90_30431-ENKDMLFH_01697|unclassified	349.3638780233
UniRef90_A0A174EVP3	348.9375681629
UniRef90_A0A174EVP3|unclassified	348.9375681629
UniClust90_9272-ICEODBIP_00662	348.7785198049
UniClust90_9272-ICEODBIP_00662|unclassified	348.7785198049
UniRef90_H0YCJ5	348.4308761060
